Epoch,Time,Loss,ACC
[-1][1/88],11.610,1.789,0.740
[-1][2/88],11.777,1.282,0.840
[-1][3/88],10.614,2.083,0.720
[-1][4/88],10.142,1.456,0.780
[-1][5/88],10.265,2.087,0.740
[-1][6/88],11.075,1.172,0.820
[-1][7/88],11.383,1.683,0.740
[-1][8/88],12.513,1.805,0.760
[-1][9/88],10.747,1.130,0.860
[-1][10/88],13.242,2.516,0.660
[-1][11/88],11.241,1.853,0.720
[-1][12/88],10.505,2.164,0.760
[-1][13/88],11.188,0.960,0.780
[-1][14/88],11.062,2.604,0.600
[-1][15/88],10.529,1.115,0.780
[-1][16/88],11.653,1.200,0.720
[-1][17/88],11.280,1.619,0.740
[-1][18/88],11.854,1.192,0.840
[-1][19/88],11.471,1.620,0.740
[-1][20/88],11.044,1.213,0.820
[-1][21/88],11.510,1.344,0.820
[-1][22/88],11.080,2.144,0.660
[-1][23/88],11.382,1.763,0.700
[-1][24/88],10.846,1.285,0.760
[-1][25/88],12.683,1.197,0.840
[-1][26/88],12.040,1.371,0.800
[-1][27/88],10.946,2.197,0.740
[-1][28/88],10.925,1.502,0.820
[-1][29/88],12.618,1.645,0.780
[-1][30/88],11.432,1.480,0.820
[-1][31/88],12.505,0.989,0.840
[-1][32/88],12.128,0.599,0.820
[-1][33/88],11.437,2.412,0.680
[-1][34/88],11.889,2.526,0.700
[-1][35/88],11.607,1.753,0.720
[-1][36/88],11.850,1.897,0.720
[-1][37/88],12.547,3.447,0.680
[-1][38/88],11.744,1.232,0.820
[-1][39/88],11.947,2.456,0.700
[-1][40/88],11.342,1.388,0.800
[-1][41/88],12.278,1.378,0.820
[-1][42/88],11.716,1.001,0.860
[-1][43/88],11.680,1.288,0.820
[-1][44/88],10.868,1.248,0.820
[-1][45/88],12.105,2.207,0.680
[-1][46/88],11.850,1.388,0.780
[-1][47/88],12.341,1.687,0.820
[-1][48/88],10.843,2.385,0.780
[-1][49/88],11.505,2.298,0.740
[-1][50/88],11.802,1.809,0.720
[-1][51/88],11.822,1.054,0.800
[-1][52/88],10.136,1.565,0.840
[-1][53/88],11.618,1.704,0.740
[-1][54/88],10.589,2.050,0.760
[-1][55/88],10.087,0.887,0.860
[-1][56/88],12.197,2.195,0.800
[-1][57/88],11.553,1.970,0.780
[-1][58/88],11.410,1.641,0.760
[-1][59/88],12.973,2.091,0.720
[-1][60/88],10.965,0.890,0.820
[-1][61/88],12.240,2.503,0.700
[-1][62/88],12.366,1.377,0.800
[-1][63/88],11.517,1.788,0.740
[-1][64/88],10.618,1.206,0.860
[-1][65/88],11.346,2.234,0.760
[-1][66/88],12.445,1.116,0.860
[-1][67/88],11.178,1.973,0.760
[-1][68/88],11.589,1.193,0.820
[-1][69/88],11.681,2.033,0.720
[-1][70/88],12.496,2.688,0.760
[-1][71/88],11.315,2.022,0.780
[-1][72/88],10.963,1.471,0.820
[-1][73/88],11.788,1.865,0.720
[-1][74/88],11.345,2.704,0.700
[-1][75/88],11.187,2.371,0.720
[-1][76/88],12.260,1.799,0.820
[-1][77/88],11.865,1.816,0.700
[-1][78/88],11.895,1.453,0.800
[-1][79/88],11.688,1.913,0.720
[-1][80/88],11.381,1.454,0.820
[-1][81/88],10.904,1.127,0.840
